name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LGR17	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR18	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR19	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR20	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR21	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR22	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR23	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR24	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR25	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR26	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR27	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR28	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR29	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR30	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR31	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR32	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR33	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR34	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR35	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR36	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR37	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR38	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR39	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR40	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR41	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR42	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR43	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR44	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR45	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR46	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR47	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR48	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR49	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR50	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR51	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR52	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR53	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR54	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR55	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR56	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR57	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR58	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR59	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR60	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR61	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR62	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR63	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LGR64	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDA8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDB8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDC8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDD8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE9	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDE12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF9	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDF12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG9	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LDG12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
DC1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
